날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-20,롯데,5,15,8,7,0,0.533,5.5,5승0무5패,1승,4-0-4,4-0-3
2022-04-21,롯데,5,16,8,8,0,0.5,6.5,5승0무5패,1패,4-0-5,4-0-3
2022-04-22,롯데,5,17,9,8,0,0.529,5.5,5승0무5패,1승,4-0-5,5-0-3
2022-04-23,롯데,5,18,10,8,0,0.556,4.5,6승0무4패,2승,4-0-5,6-0-3
2022-04-24,롯데,3,19,11,8,0,0.579,4.5,7승0무3패,3승,4-0-5,7-0-3
2022-04-26,롯데,4,20,11,9,0,0.55,5.5,6승0무4패,1패,4-0-6,7-0-3
2022-04-27,롯데,4,21,11,9,1,0.55,5.5,5승1무4패,1패,4-1-6,7-0-3
2022-04-28,롯데,4,22,12,9,1,0.571,4.5,6승1무3패,1승,5-1-6,7-0-3
2022-04-29,롯데,2,23,13,9,1,0.591,4.5,6승1무3패,2승,5-1-6,8-0-3
2022-04-30,롯데,2,24,14,9,1,0.609,4.5,7승1무2패,3승,5-1-6,9-0-3
2022-05-01,롯데,2,25,15,9,1,0.625,3.5,7승1무2패,4승,5-1-6,10-0-3
2022-05-03,롯데,2,26,15,10,1,0.6,4.5,7승1무2패,1패,5-1-6,10-0-4
2022-05-04,롯데,2,27,16,10,1,0.615,3.5,7승1무2패,1승,5-1-6,11-0-4
2022-05-05,롯데,2,28,16,11,1,0.593,4.5,6승1무3패,1패,5-1-6,11-0-5
2022-05-06,롯데,2,29,16,12,1,0.571,4.5,5승1무4패,2패,5-1-7,11-0-5
2022-05-07,롯데,3,30,16,13,1,0.552,5.5,5승1무4패,3패,5-1-8,11-0-5
2022-05-08,롯데,4,31,16,14,1,0.533,6.5,5승0무5패,4패,5-1-9,11-0-5
2022-05-10,롯데,4,32,17,14,1,0.548,6.5,5승0무5패,1승,6-1-9,11-0-5
2022-05-11,롯데,4,33,18,14,1,0.563,5.5,5승0무5패,2승,7-1-9,11-0-5
2022-05-12,롯데,4,34,18,15,1,0.545,5.5,4승0무6패,1패,7-1-10,11-0-5
2022-05-13,롯데,4,35,19,15,1,0.559,4.5,4승0무6패,1승,7-1-10,12-0-5
2022-05-14,롯데,3,36,20,15,1,0.571,4.5,5승0무5패,2승,7-1-10,13-0-5
2022-05-15,롯데,3,37,20,16,1,0.556,4.5,4승0무6패,1패,7-1-10,13-0-6
2022-05-17,롯데,4,38,20,17,1,0.541,5.0,4승0무6패,2패,7-1-11,13-0-6
2022-05-18,롯데,5,39,20,18,1,0.526,6.0,4승0무6패,3패,7-1-12,13-0-6
2022-05-19,롯데,7,40,20,19,1,0.513,7.0,4승0무6패,4패,7-1-13,13-0-6
2022-05-20,롯데,6,41,21,19,1,0.525,7.0,5승0무5패,1승,7-1-13,14-0-6
2022-05-21,롯데,7,42,21,20,1,0.512,7.0,4승0무6패,1패,7-1-13,14-0-7
2022-05-22,롯데,6,43,22,20,1,0.524,7.0,4승0무6패,1승,7-1-13,15-0-7
2022-05-24,롯데,6,44,22,21,1,0.512,8.0,4승0무6패,1패,7-1-13,15-0-8
2022-05-25,롯데,6,45,22,22,1,0.5,9.0,3승0무7패,2패,7-1-13,15-0-9
2022-05-26,롯데,7,46,22,23,1,0.489,10.0,2승0무8패,3패,7-1-13,15-0-10
2022-05-27,롯데,7,47,22,24,1,0.478,11.0,2승0무8패,4패,7-1-14,15-0-10
2022-05-28,롯데,7,48,22,25,1,0.468,11.0,2승0무8패,5패,7-1-15,15-0-10
2022-05-29,롯데,7,49,22,26,1,0.458,12.0,2승0무8패,6패,7-1-16,15-0-10
2022-05-31,롯데,7,50,23,26,1,0.469,11.0,3승0무7패,1승,8-1-16,15-0-10
2022-06-01,롯데,7,51,23,27,1,0.46,12.0,2승0무8패,1패,8-1-17,15-0-10
2022-06-02,롯데,7,52,23,27,2,0.46,11.5,2승1무7패,1패,8-2-17,15-0-10
2022-06-03,롯데,8,53,23,28,2,0.451,11.5,1승1무8패,2패,8-2-17,15-0-11
2022-06-04,롯데,8,54,24,28,2,0.462,10.5,2승1무7패,1승,8-2-17,16-0-11
2022-06-05,롯데,8,54,24,28,2,0.462,11.0,2승1무7패,1승,8-2-17,16-0-11
2022-06-07,롯데,8,55,24,29,2,0.453,11.0,2승1무7패,1패,8-2-18,16-0-11
2022-06-08,롯데,8,56,24,30,2,0.444,11.5,2승1무7패,2패,8-2-19,16-0-11
2022-06-09,롯데,8,57,25,30,2,0.455,10.5,3승1무6패,1승,9-2-19,16-0-11
2022-06-10,롯데,8,58,25,31,2,0.446,11.5,3승1무6패,1패,9-2-20,16-0-11
2022-06-11,롯데,8,59,25,32,2,0.439,12.5,3승1무6패,2패,9-2-21,16-0-11
2022-06-12,롯데,8,60,26,32,2,0.448,12.5,3승1무6패,1승,10-2-21,16-0-11
2022-06-14,롯데,8,60,26,32,2,0.448,12.0,3승1무6패,1승,10-2-21,16-0-11
2022-06-15,롯데,8,61,27,32,2,0.458,11.0,4승1무5패,2승,10-2-21,17-0-11
2022-06-16,롯데,8,62,28,32,2,0.467,11.0,5승0무5패,3승,10-2-21,18-0-11
2022-06-17,롯데,8,63,28,33,2,0.459,12.0,5승0무5패,1패,10-2-22,18-0-11
2022-06-18,롯데,8,64,28,34,2,0.452,13.0,4승0무6패,2패,10-2-23,18-0-11
2022-06-19,롯데,8,65,29,34,2,0.46,12.0,5승0무5패,1승,11-2-23,18-0-11
2022-06-21,롯데,8,66,29,35,2,0.453,12.0,5승0무5패,1패,11-2-23,18-0-12
2022-06-22,롯데,8,67,30,35,2,0.462,12.0,5승0무5패,1승,11-2-23,19-0-12
2022-06-23,롯데,8,68,30,36,2,0.455,12.5,5승0무5패,1패,11-2-23,19-0-13
2022-06-24,롯데,6,69,31,36,2,0.463,12.5,6승0무4패,1승,12-2-23,19-0-13
2022-06-25,롯데,7,70,31,37,2,0.456,13.5,5승0무5패,1패,12-2-24,19-0-13
2022-06-26,롯데,8,71,31,38,2,0.449,14.5,4승0무6패,2패,12-2-25,19-0-13
2022-06-28,롯데,8,72,31,38,3,0.449,14.0,3승1무6패,2패,12-3-25,19-0-13
2022-06-29,롯데,8,72,31,38,3,0.449,14.5,3승1무6패,2패,12-3-25,19-0-13
2022-06-30,롯데,7,73,32,38,3,0.457,14.0,4승1무5패,1승,13-3-25,19-0-13
2022-07-01,롯데,7,74,32,39,3,0.451,15.0,4승1무5패,1패,13-3-25,19-0-14
2022-07-02,롯데,7,75,33,39,3,0.458,15.0,4승1무5패,1승,13-3-25,20-0-14
2022-07-03,롯데,7,76,33,40,3,0.452,16.0,4승1무5패,1패,13-3-25,20-0-15
2022-07-05,롯데,7,77,33,41,3,0.446,17.0,3승1무6패,2패,13-3-25,20-0-16
2022-07-06,롯데,6,78,34,41,3,0.453,16.0,4승1무5패,1승,13-3-25,21-0-16
2022-07-07,롯데,6,79,34,42,3,0.447,17.0,3승1무6패,1패,13-3-25,21-0-17
2022-07-08,롯데,6,80,34,43,3,0.442,18.0,3승1무6패,2패,13-3-25,21-0-18
2022-07-09,롯데,6,81,34,44,3,0.436,19.0,3승1무6패,3패,13-3-25,21-0-19
2022-07-10,롯데,6,82,35,44,3,0.443,19.0,4승0무6패,1승,13-3-25,22-0-19
2022-07-12,롯데,6,83,36,44,3,0.45,19.0,4승0무6패,2승,14-3-25,22-0-19
2022-07-13,롯데,6,84,37,44,3,0.457,18.5,5승0무5패,3승,15-3-25,22-0-19
2022-07-14,롯데,6,85,38,44,3,0.463,18.5,5승0무5패,4승,16-3-25,22-0-19
2022-07-22,롯데,6,86,38,45,3,0.458,19.5,5승0무5패,1패,16-3-26,22-0-19
2022-07-23,롯데,6,87,38,46,3,0.452,20.0,5승0무5패,2패,16-3-27,22-0-19
2022-07-24,롯데,6,88,38,47,3,0.447,21.0,4승0무6패,3패,16-3-28,22-0-19
2022-07-26,롯데,6,89,38,48,3,0.442,21.0,4승0무6패,4패,16-3-28,22-0-20
2022-07-27,롯데,7,90,38,49,3,0.437,22.0,4승0무6패,5패,16-3-28,22-0-21
2022-07-28,롯데,7,91,38,50,3,0.432,23.0,4승0무6패,6패,16-3-28,22-0-22
2022-07-29,롯데,7,92,38,51,3,0.427,23.0,3승0무7패,7패,16-3-28,22-0-23
2022-07-30,롯데,7,93,39,51,3,0.433,23.0,3승0무7패,1승,16-3-28,23-0-23
2022-07-31,롯데,7,94,39,51,4,0.433,23.5,2승1무7패,1승,16-3-28,23-1-23
2022-08-02,롯데,7,95,40,51,4,0.44,23.5,2승1무7패,2승,17-3-28,23-1-23
2022-08-03,롯데,7,96,40,52,4,0.435,23.5,2승1무7패,1패,17-3-29,23-1-23
2022-08-04,롯데,7,97,40,53,4,0.43,24.5,2승1무7패,2패,17-3-30,23-1-23
2022-08-05,롯데,7,98,41,53,4,0.436,23.5,3승1무6패,1승,18-3-30,23-1-23
2022-08-06,롯데,7,99,41,54,4,0.432,24.5,3승1무6패,1패,18-3-31,23-1-23
2022-08-07,롯데,8,100,41,55,4,0.427,25.5,3승1무6패,2패,18-3-32,23-1-23
2022-08-10,롯데,8,101,42,55,4,0.433,25.5,4승1무5패,1승,18-3-32,24-1-23
2022-08-11,롯데,8,102,43,55,4,0.439,25.5,5승1무4패,2승,18-3-32,25-1-23
2022-08-12,롯데,7,103,44,55,4,0.444,24.5,5승1무4패,3승,18-3-32,26-1-23
2022-08-13,롯데,7,104,44,56,4,0.44,25.5,5승0무5패,1패,18-3-32,26-1-24
2022-08-14,롯데,6,105,45,56,4,0.446,25.5,5승0무5패,1승,18-3-32,27-1-24
2022-08-16,롯데,6,105,45,56,4,0.446,25.5,5승0무5패,1승,18-3-32,27-1-24
2022-08-17,롯데,6,106,46,56,4,0.451,24.5,6승0무4패,2승,19-3-32,27-1-24
2022-08-18,롯데,6,107,47,56,4,0.456,23.5,7승0무3패,3승,20-3-32,27-1-24
2022-08-19,롯데,6,108,47,57,4,0.452,24.0,6승0무4패,1패,20-3-33,27-1-24
2022-08-20,롯데,7,109,47,58,4,0.448,25.0,6승0무4패,2패,20-3-34,27-1-24
2022-08-21,롯데,7,110,48,58,4,0.453,25.0,7승0무3패,1승,21-3-34,27-1-24
2022-08-23,롯데,6,111,49,58,4,0.458,25.0,7승0무3패,2승,21-3-34,28-1-24
2022-08-24,롯데,6,112,50,58,4,0.463,25.0,7승0무3패,3승,21-3-34,29-1-24
2022-08-25,롯데,6,113,50,59,4,0.459,25.0,6승0무4패,1패,21-3-35,29-1-24
2022-08-26,롯데,6,114,51,59,4,0.464,24.0,7승0무3패,1승,22-3-35,29-1-24
2022-08-27,롯데,6,115,51,60,4,0.459,25.0,6승0무4패,1패,22-3-35,29-1-25
2022-08-28,롯데,6,116,52,60,4,0.464,24.0,6승0무4패,1승,22-3-35,30-1-25
2022-08-30,롯데,6,117,52,61,4,0.46,24.5,5승0무5패,1패,22-3-35,30-1-26
2022-08-31,롯데,6,118,52,62,4,0.456,24.5,5승0무5패,2패,22-3-35,30-1-27
2022-09-01,롯데,6,119,52,63,4,0.452,24.5,5승0무5패,3패,22-3-35,30-1-28
2022-09-02,롯데,6,120,53,63,4,0.457,24.5,5승0무5패,1승,22-3-35,31-1-28
2022-09-03,롯데,6,120,53,63,4,0.457,24.0,5승0무5패,1승,22-3-35,31-1-28
2022-09-04,롯데,6,121,53,64,4,0.453,24.5,4승0무6패,1패,22-3-36,31-1-28
2022-09-06,롯데,6,122,54,64,4,0.458,24.5,4승0무6패,1승,23-3-36,31-1-28
2022-09-07,롯데,6,123,54,65,4,0.454,25.0,4승0무6패,1패,23-3-37,31-1-28
2022-09-08,롯데,6,124,55,65,4,0.458,24.0,4승0무6패,1승,23-3-37,32-1-28
2022-09-09,롯데,7,125,55,66,4,0.455,24.0,4승0무6패,1패,23-3-37,32-1-29
2022-09-10,롯데,7,126,55,67,4,0.451,24.0,3승0무7패,2패,23-3-38,32-1-29
